#-------------------------------------------------------------------------------
# N=1.00000e+00,  MDIVxSDIV=65x129,  accuracy=1e-05
#-------------------------------------------------------------------------------
#   rho_c        M         M_0         R         Omega      Omega_p       T/W            J          I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio   Omega_pa   Omega+   u_phi 
#-------------------------------------------------------------------------------
1.44400e-01 1.40014e-01 1.50616e-01 9.58308e-01 0.00000e+00 3.98925e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.88630e-01 1.88630e-01 1.88630e-01 0.00000e+00 8.12263e-01 1.00000e+00 3.98925e-01 3.98925e-01 4.88844e-01
1.44400e-01 1.43240e-01 1.54157e-01 9.82817e-01 1.07159e-01 3.86685e-01 1.19256e-02 4.54589e-03 4.24218e-02 0.00000e+00 0.00000e+00 1.96844e-01 3.48440e-01 4.86429e-02 4.15871e-01 8.32626e-01 9.50000e-01 3.86685e-01 3.86685e-01 4.82330e-01
1.44400e-01 1.46672e-01 1.57922e-01 1.01026e+00 1.50631e-01 3.76256e-01 2.42943e-02 6.84025e-03 4.54106e-02 0.00000e+00 -2.27684e+03 2.05633e-01 4.27426e-01 -9.04361e-03 4.24250e-01 8.55635e-01 9.00000e-01 3.76256e-01 3.76256e-01 4.89051e-01
1.44400e-01 1.50399e-01 1.62014e-01 1.04143e+00 1.82736e-01 3.65092e-01 3.69401e-02 8.91704e-03 4.87975e-02 0.00000e+00 -2.34727e+03 2.14959e-01 4.95522e-01 -5.44843e-02 4.32934e-01 8.82066e-01 8.50000e-01 3.65092e-01 3.65092e-01 4.98598e-01
1.44400e-01 1.54398e-01 1.66404e-01 1.07728e+00 2.08293e-01 3.52709e-01 4.96934e-02 1.09584e-02 5.26104e-02 0.00000e+00 -2.42955e+03 2.24712e-01 5.59019e-01 -9.42789e-02 4.41797e-01 9.12900e-01 8.00000e-01 3.52709e-01 3.52709e-01 5.10081e-01
1.44400e-01 1.58591e-01 1.71008e-01 1.11910e+00 2.28937e-01 3.38634e-01 6.22706e-02 1.30116e-02 5.68348e-02 0.00000e+00 -2.52756e+03 2.34656e-01 6.19843e-01 -1.31006e-01 4.50615e-01 9.49568e-01 7.50000e-01 3.38634e-01 3.38634e-01 5.23116e-01
1.44400e-01 1.62801e-01 1.75629e-01 1.16884e+00 2.45190e-01 3.22225e-01 7.41544e-02 1.50417e-02 6.13471e-02 0.00000e+00 2.66865e-01 2.44319e-01 6.78032e-01 -1.66016e-01 4.58984e-01 9.94310e-01 7.00000e-01 3.22225e-01 3.22225e-01 5.37316e-01
1.44400e-01 1.66626e-01 1.79825e-01 1.22951e+00 2.56937e-01 3.02577e-01 8.43769e-02 1.68922e-02 6.57447e-02 0.00000e+00 2.78323e-01 2.52779e-01 7.31868e-01 -2.00113e-01 4.66158e-01 1.05072e+00 6.50000e-01 3.02577e-01 3.02577e-01 5.52013e-01
1.44400e-01 1.69231e-01 1.82677e-01 1.30606e+00 2.63447e-01 2.78307e-01 9.10450e-02 1.81695e-02 6.89683e-02 0.00000e+00 2.52987e-01 2.58302e-01 7.77136e-01 -2.33706e-01 4.70775e-01 1.12495e+00 6.00000e-01 2.78307e-01 2.78307e-01 5.65761e-01
1.44400e-01 1.69609e-01 1.83091e-01 1.34287e+00 2.64282e-01 2.66892e-01 9.19954e-02 1.83575e-02 6.94617e-02 0.00000e+00 2.24211e-01 2.59081e-01 7.91266e-01 -2.46989e-01 4.71424e-01 1.16181e+00 5.80000e-01 2.66892e-01 2.66892e-01 5.70415e-01
