#-------------------------------------------------------------------------------
# N=1.00000e+00,  MDIVxSDIV=65x129,  accuracy=1e-05
#-------------------------------------------------------------------------------
#  rho_c        M         M_0         R         Omega      Omega_p       T/W            J          I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio   Omega_pa   Omega+   u_phi 
#-------------------------------------------------------------------------------
1.00000e-03 3.38574e-03 3.38954e-03 1.92103e+00 2.29466e-02 2.29477e-02 1.02776e-01 5.38828e-05 2.34819e-03 0.00000e+00 0.00000e+00 2.79789e-03 4.70837e-02 -4.14851e-02 6.96648e-03 1.91753e+00 5.57104e-01 2.29477e-02 2.29477e-02 8.48605e-02
1.15140e-03 3.89181e-03 3.89683e-03 1.91992e+00 2.46219e-02 2.46222e-02 1.02759e-01 6.64028e-05 2.69691e-03 0.00000e+00 0.00000e+00 3.21959e-03 5.07447e-02 -4.43017e-02 8.01156e-03 1.91590e+00 5.57129e-01 2.46222e-02 2.46222e-02 9.09761e-02
1.32571e-03 4.47240e-03 4.47903e-03 1.91862e+00 2.64188e-02 2.64192e-02 1.02731e-01 8.17975e-05 3.09619e-03 0.00000e+00 0.00000e+00 3.70447e-03 5.47051e-02 -4.72912e-02 9.21168e-03 1.91400e+00 5.57178e-01 2.64192e-02 2.64192e-02 9.75183e-02
1.52642e-03 5.13807e-03 5.14683e-03 1.91707e+00 2.83480e-02 2.83484e-02 1.02715e-01 1.00722e-04 3.55307e-03 0.00000e+00 0.00000e+00 4.26201e-03 5.89930e-02 -5.04624e-02 1.05895e-02 1.91177e+00 5.57227e-01 2.83484e-02 2.83484e-02 1.04514e-01
1.75751e-03 5.90084e-03 5.91242e-03 1.91528e+00 3.04173e-02 3.04187e-02 1.02689e-01 1.23958e-04 4.07525e-03 0.00000e+00 0.00000e+00 4.90281e-03 6.36366e-02 -5.38224e-02 1.21703e-02 1.90919e+00 5.57300e-01 3.04187e-02 3.04187e-02 1.11990e-01
2.02359e-03 6.77439e-03 6.78966e-03 1.91329e+00 3.26368e-02 3.26386e-02 1.02651e-01 1.52467e-04 4.67162e-03 0.00000e+00 0.00000e+00 5.63922e-03 6.86712e-02 -5.73813e-02 1.39834e-02 1.90630e+00 5.57373e-01 3.26386e-02 3.26386e-02 1.19978e-01
2.32995e-03 7.77371e-03 7.79385e-03 1.91097e+00 3.50195e-02 3.50210e-02 1.02623e-01 1.87412e-04 5.35163e-03 0.00000e+00 0.00000e+00 6.48526e-03 7.41317e-02 -6.11460e-02 1.60616e-02 1.90295e+00 5.57446e-01 3.50210e-02 3.50210e-02 1.28504e-01
2.68270e-03 8.91612e-03 8.94266e-03 1.90838e+00 3.75751e-02 3.75752e-02 1.02583e-01 2.30192e-04 6.12618e-03 0.00000e+00 0.00000e+00 7.45692e-03 8.00592e-02 -6.51253e-02 1.84421e-02 1.89918e+00 5.57520e-01 3.75752e-02 3.75752e-02 1.37602e-01
3.08884e-03 1.02205e-02 1.02554e-02 1.90530e+00 4.03169e-02 4.03188e-02 1.02536e-01 2.82484e-04 7.00660e-03 0.00000e+00 0.00000e+00 8.57232e-03 8.64909e-02 -6.93197e-02 2.11666e-02 1.89475e+00 5.57642e-01 4.03188e-02 4.03188e-02 1.47293e-01
3.55648e-03 1.17082e-02 1.17541e-02 1.90186e+00 4.32573e-02 4.32598e-02 1.02475e-01 3.46313e-04 8.00588e-03 0.00000e+00 0.00000e+00 9.85228e-03 9.34818e-02 -7.37422e-02 2.42823e-02 1.88977e+00 5.57764e-01 4.32598e-02 4.32598e-02 1.57614e-01
4.09492e-03 1.34022e-02 1.34625e-02 1.89786e+00 4.64128e-02 4.64169e-02 1.02415e-01 4.24084e-04 9.13722e-03 0.00000e+00 0.00000e+00 1.13203e-02 1.01081e-01 -7.83938e-02 2.78416e-02 1.88402e+00 5.57910e-01 4.64169e-02 4.64169e-02 1.68588e-01
4.71487e-03 1.53283e-02 1.54075e-02 1.89336e+00 4.97975e-02 4.98009e-02 1.02345e-01 5.18650e-04 1.04152e-02 0.00000e+00 0.00000e+00 1.30031e-02 1.09351e-01 -8.32838e-02 3.19032e-02 1.87753e+00 5.58057e-01 4.98009e-02 4.98009e-02 1.80244e-01
5.42868e-03 1.75139e-02 1.76176e-02 1.88817e+00 5.34297e-02 5.34328e-02 1.02273e-01 6.33369e-04 1.18542e-02 0.00000e+00 0.00000e+00 1.49307e-02 1.18353e-01 -8.84111e-02 3.65316e-02 1.87008e+00 5.58228e-01 5.34328e-02 5.34328e-02 1.92602e-01
6.25055e-03 1.99892e-02 2.01247e-02 1.88230e+00 5.73242e-02 5.73268e-02 1.02182e-01 7.72151e-04 1.34699e-02 0.00000e+00 0.00000e+00 1.71372e-02 1.28160e-01 -9.37794e-02 4.17984e-02 1.86165e+00 5.58423e-01 5.73268e-02 5.73268e-02 2.05685e-01
7.19686e-03 2.27859e-02 2.29627e-02 1.87565e+00 6.14999e-02 6.15014e-02 1.02072e-01 9.39534e-04 1.52770e-02 0.00000e+00 0.00000e+00 1.96606e-02 1.38851e-01 -9.93894e-02 4.77815e-02 1.85210e+00 5.58643e-01 6.15014e-02 6.15014e-02 2.19509e-01
8.28643e-03 2.59361e-02 2.61663e-02 1.86796e+00 6.59807e-02 6.59844e-02 1.01959e-01 1.14073e-03 1.72888e-02 0.00000e+00 0.00000e+00 2.25437e-02 1.50504e-01 -1.05232e-01 5.45648e-02 1.84115e+00 5.58911e-01 6.59844e-02 6.59844e-02 2.34072e-01
9.54095e-03 2.94744e-02 2.97733e-02 1.85932e+00 7.07842e-02 7.07885e-02 1.01825e-01 1.38159e-03 1.95183e-02 0.00000e+00 0.00000e+00 2.58340e-02 1.63223e-01 -1.11313e-01 6.22390e-02 1.82883e+00 5.59204e-01 7.07885e-02 7.07885e-02 2.49386e-01
1.09854e-02 3.34347e-02 3.38216e-02 1.84960e+00 7.59326e-02 7.59346e-02 1.01664e-01 1.66864e-03 2.19753e-02 0.00000e+00 0.00000e+00 2.95842e-02 1.77112e-01 -1.17625e-01 7.08998e-02 1.81500e+00 5.59521e-01 7.59346e-02 7.59346e-02 2.65443e-01
1.26486e-02 3.78494e-02 3.83486e-02 1.83852e+00 8.14511e-02 8.14587e-02 1.01482e-01 2.00904e-03 2.46657e-02 0.00000e+00 0.00000e+00 3.38524e-02 1.92272e-01 -1.24150e-01 8.06473e-02 1.79932e+00 5.59912e-01 8.14587e-02 8.14587e-02 2.82213e-01
1.45635e-02 4.27469e-02 4.33886e-02 1.82616e+00 8.73678e-02 8.73698e-02 1.01285e-01 2.41033e-03 2.75883e-02 0.00000e+00 0.00000e+00 3.87019e-02 2.08843e-01 -1.30893e-01 9.15820e-02 1.78186e+00 5.60303e-01 8.73698e-02 8.73698e-02 2.99668e-01
1.67683e-02 4.81529e-02 4.89742e-02 1.81211e+00 9.37077e-02 9.37160e-02 1.01062e-01 2.88033e-03 3.07374e-02 0.00000e+00 0.00000e+00 4.42013e-02 2.26932e-01 -1.37816e-01 1.03806e-01 1.76216e+00 5.60791e-01 9.37160e-02 9.37160e-02 3.17744e-01
1.93070e-02 5.40829e-02 5.51290e-02 1.79643e+00 1.00504e-01 1.00509e-01 1.00824e-01 3.42665e-03 3.40946e-02 0.00000e+00 0.00000e+00 5.04239e-02 2.46701e-01 -1.44923e-01 1.17416e-01 1.74028e+00 5.61304e-01 1.00509e-01 1.00509e-01 3.36373e-01
2.22300e-02 6.05512e-02 6.18768e-02 1.77897e+00 1.07777e-01 1.07783e-01 1.00540e-01 4.05669e-03 3.76397e-02 0.00000e+00 0.00000e+00 5.74491e-02 2.68293e-01 -1.52184e-01 1.32509e-01 1.71604e+00 5.61890e-01 1.07783e-01 1.07783e-01 3.55480e-01
2.55955e-02 6.75573e-02 6.92275e-02 1.75962e+00 1.15556e-01 1.15567e-01 1.00206e-01 4.77676e-03 4.13373e-02 0.00000e+00 0.00000e+00 6.53594e-02 2.91867e-01 -1.59579e-01 1.49165e-01 1.68934e+00 5.62549e-01 1.15567e-01 1.15567e-01 3.74960e-01
2.94705e-02 7.50745e-02 7.71648e-02 1.73826e+00 1.23885e-01 1.23888e-01 9.98512e-02 5.59071e-03 4.51283e-02 0.00000e+00 0.00000e+00 7.42364e-02 3.17595e-01 -1.67092e-01 1.67443e-01 1.66005e+00 5.63232e-01 1.23888e-01 1.23888e-01 3.94653e-01
3.39322e-02 8.30730e-02 8.56703e-02 1.71467e+00 1.32788e-01 1.32792e-01 9.94515e-02 6.50044e-03 4.89535e-02 0.00000e+00 0.00000e+00 8.41647e-02 3.45622e-01 -1.74675e-01 1.87386e-01 1.62801e+00 5.64014e-01 1.32792e-01 1.32792e-01 4.14405e-01
3.90694e-02 9.14931e-02 9.46945e-02 1.68874e+00 1.42303e-01 1.42317e-01 9.90131e-02 7.50377e-03 5.27308e-02 0.00000e+00 0.00000e+00 9.52239e-02 3.76103e-01 -1.82294e-01 2.09005e-01 1.59315e+00 5.64893e-01 1.42317e-01 1.42317e-01 4.34020e-01
4.49843e-02 1.00273e-01 1.04186e-01 1.66083e+00 1.52448e-01 1.52449e-01 9.85079e-02 8.59600e-03 5.63863e-02 0.00000e+00 0.00000e+00 1.07495e-01 4.09253e-01 -1.89966e-01 2.32295e-01 1.55589e+00 5.65771e-01 1.52449e-01 1.52449e-01 4.53361e-01
5.17947e-02 1.09290e-01 1.14027e-01 1.63029e+00 1.63279e-01 1.63294e-01 9.79752e-02 9.76392e-03 5.97988e-02 0.00000e+00 0.00000e+00 1.21036e-01 4.45124e-01 -1.97583e-01 2.57176e-01 1.51570e+00 5.66797e-01 1.63294e-01 1.63294e-01 4.72102e-01
5.96362e-02 1.18429e-01 1.24104e-01 1.59751e+00 1.74820e-01 1.74837e-01 9.73938e-02 1.09908e-02 6.28695e-02 0.00000e+00 0.00000e+00 1.35900e-01 4.83885e-01 -2.05162e-01 2.83550e-01 1.47310e+00 5.67871e-01 1.74837e-01 1.74837e-01 4.90049e-01
