# Mer 27 Apr 2011 21:00:59 CEST
# R vs M for ./eos/eosFPS ./eos/eosSly ./eos/eosAPR ./eos/eosFPSfit ./eos/eosSlyfit ./eos/eosAPRfit
# data computed with RNS code
1.87359e+01 1.46736e-01	1.63280e+01 1.97300e-01	1.87373e+01 1.63175e-01	1.94339e+01 1.42094e-01	1.62270e+01 2.02492e-01	1.85049e+01 1.58096e-01
1.68186e+01 1.63827e-01	1.53589e+01 2.17914e-01	1.73644e+01 1.76155e-01	1.74727e+01 1.56650e-01	1.53603e+01 2.21754e-01	1.71006e+01 1.71313e-01
1.54610e+01 1.82809e-01	1.46003e+01 2.41076e-01	1.62466e+01 1.90793e-01	1.60296e+01 1.73069e-01	1.46637e+01 2.43183e-01	1.59694e+01 1.86341e-01
1.44969e+01 2.03469e-01	1.40017e+01 2.67023e-01	1.53415e+01 2.07164e-01	1.49332e+01 1.91603e-01	1.40967e+01 2.67180e-01	1.50509e+01 2.03423e-01
1.37690e+01 2.26093e-01	1.35299e+01 2.95804e-01	1.45969e+01 2.25507e-01	1.40931e+01 2.12343e-01	1.36382e+01 2.93670e-01	1.43068e+01 2.22645e-01
1.32172e+01 2.50632e-01	1.31558e+01 3.27766e-01	1.39843e+01 2.45885e-01	1.34409e+01 2.35446e-01	1.32606e+01 3.23288e-01	1.36981e+01 2.44374e-01
1.27895e+01 2.77232e-01	1.28614e+01 3.62817e-01	1.34743e+01 2.68680e-01	1.29305e+01 2.61048e-01	1.29612e+01 3.55441e-01	1.32042e+01 2.68650e-01
1.24523e+01 3.06034e-01	1.26283e+01 4.01358e-01	1.30540e+01 2.93896e-01	1.25310e+01 2.89170e-01	1.27119e+01 3.91287e-01	1.28023e+01 2.95887e-01
1.21886e+01 3.37036e-01	1.24497e+01 4.42986e-01	1.27160e+01 3.21388e-01	1.22184e+01 3.19915e-01	1.25179e+01 4.29676e-01	1.24788e+01 3.26043e-01
1.19798e+01 3.70359e-01	1.23075e+01 4.88255e-01	1.24366e+01 3.51494e-01	1.19703e+01 3.53416e-01	1.23576e+01 4.71927e-01	1.22153e+01 3.59836e-01
1.18099e+01 4.06459e-01	1.22004e+01 5.36800e-01	1.21981e+01 3.85261e-01	1.17729e+01 3.89927e-01	1.22317e+01 5.17337e-01	1.20093e+01 3.96713e-01
1.16743e+01 4.45231e-01	1.21163e+01 5.88921e-01	1.20125e+01 4.22295e-01	1.16229e+01 4.28688e-01	1.21334e+01 5.65832e-01	1.18447e+01 4.37641e-01
1.15652e+01 4.86879e-01	1.20550e+01 6.43932e-01	1.18529e+01 4.62935e-01	1.15010e+01 4.70735e-01	1.20539e+01 6.18072e-01	1.17168e+01 4.82480e-01
1.14781e+01 5.31341e-01	1.20074e+01 7.02164e-01	1.17260e+01 5.08247e-01	1.14080e+01 5.15046e-01	1.19905e+01 6.73711e-01	1.16217e+01 5.30955e-01
1.14089e+01 5.78655e-01	1.19701e+01 7.63334e-01	1.16285e+01 5.58128e-01	1.13370e+01 5.61747e-01	1.19438e+01 7.31302e-01	1.15502e+01 5.83669e-01
1.13546e+01 6.29573e-01	1.19439e+01 8.26413e-01	1.15524e+01 6.12242e-01	1.12753e+01 6.11933e-01	1.19044e+01 7.92436e-01	1.14975e+01 6.40900e-01
1.13087e+01 6.82241e-01	1.19197e+01 8.92440e-01	1.14914e+01 6.70504e-01	1.12304e+01 6.63283e-01	1.18708e+01 8.56512e-01	1.14644e+01 7.01034e-01
1.12694e+01 7.36294e-01	1.18992e+01 9.59895e-01	1.14521e+01 7.33203e-01	1.11953e+01 7.16303e-01	1.18427e+01 9.22094e-01	1.14421e+01 7.65476e-01
1.12386e+01 7.92855e-01	1.18780e+01 1.02898e+00	1.14216e+01 8.01137e-01	1.11653e+01 7.71179e-01	1.18162e+01 9.89781e-01	1.14283e+01 8.33688e-01
1.12084e+01 8.51816e-01	1.18584e+01 1.09774e+00	1.14026e+01 8.72821e-01	1.11337e+01 8.29165e-01	1.17904e+01 1.05855e+00	1.14213e+01 9.04714e-01
1.11804e+01 9.11454e-01	1.18356e+01 1.16703e+00	1.13888e+01 9.48361e-01	1.11057e+01 8.87347e-01	1.17645e+01 1.12726e+00	1.14174e+01 9.78841e-01
1.11533e+01 9.71217e-01	1.18085e+01 1.23652e+00	1.13827e+01 1.02534e+00	1.10813e+01 9.44714e-01	1.17358e+01 1.19642e+00	1.14157e+01 1.05467e+00
1.11268e+01 1.03012e+00	1.17771e+01 1.30511e+00	1.13761e+01 1.10538e+00	1.10548e+01 1.00275e+00	1.17026e+01 1.26593e+00	1.14141e+01 1.13151e+00
1.10978e+01 1.08865e+00	1.17406e+01 1.37243e+00	1.13693e+01 1.18680e+00	1.10257e+01 1.06071e+00	1.16648e+01 1.33469e+00	1.14096e+01 1.20975e+00
1.10649e+01 1.14625e+00	1.16983e+01 1.43824e+00	1.13605e+01 1.26853e+00	1.09940e+01 1.11780e+00	1.16222e+01 1.40193e+00	1.14009e+01 1.28857e+00
1.10280e+01 1.20281e+00	1.16573e+01 1.50462e+00	1.13472e+01 1.35039e+00	1.09570e+01 1.17397e+00	1.15747e+01 1.46682e+00	1.13873e+01 1.36703e+00
1.09862e+01 1.25826e+00	1.15958e+01 1.56272e+00	1.13355e+01 1.43311e+00	1.09159e+01 1.23118e+00	1.15220e+01 1.52879e+00	1.13682e+01 1.44400e+00
1.09396e+01 1.31205e+00	1.15370e+01 1.61962e+00	1.13125e+01 1.51104e+00	1.08687e+01 1.28693e+00	1.14641e+01 1.58772e+00	1.13435e+01 1.51846e+00
1.08886e+01 1.36313e+00	1.14795e+01 1.67564e+00	1.12768e+01 1.58318e+00	1.08181e+01 1.33965e+00	1.14007e+01 1.64353e+00	1.13124e+01 1.59007e+00
1.08335e+01 1.41112e+00	1.14031e+01 1.72315e+00	1.12410e+01 1.65452e+00	1.07641e+01 1.38898e+00	1.13321e+01 1.69590e+00	1.12748e+01 1.65850e+00
