
-------------------------------------------------------------------------------
./eos/eosAPR,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
-------------------------------------------------------------------------------
3.00000e+14 1.63175e-01 1.63075e-01 1.87373e+01 0.00000e+00 1.81379e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.31013e-02 1.31013e-02 1.31013e-02 0.00000e+00 5.03991e-01 1.00000e+00 1.81379e-01 1.81379e-01 1.46832e+00
3.14544e+14 1.76155e-01 1.76241e-01 1.73644e+01 0.00000e+00 2.11241e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.53116e-02 1.53116e-02 1.53116e-02 0.00000e+00 4.66053e-01 1.00000e+00 2.11241e-01 2.11241e-01 1.47353e+00
3.29794e+14 1.90793e-01 1.91122e-01 1.62466e+01 0.00000e+00 2.42916e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.77896e-02 1.77896e-02 1.77896e-02 0.00000e+00 4.35000e-01 1.00000e+00 2.42916e-01 2.42916e-01 1.48888e+00
3.45782e+14 2.07164e-01 2.07806e-01 1.53415e+01 0.00000e+00 2.75851e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.05383e-02 2.05383e-02 2.05383e-02 0.00000e+00 4.09669e-01 1.00000e+00 2.75851e-01 2.75851e-01 1.51384e+00
3.62546e+14 2.25507e-01 2.26553e-01 1.45969e+01 0.00000e+00 3.10104e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.36028e-02 2.36028e-02 2.36028e-02 0.00000e+00 3.88632e-01 1.00000e+00 3.10104e-01 3.10104e-01 1.54774e+00
3.80123e+14 2.45885e-01 2.47444e-01 1.39843e+01 0.00000e+00 3.45322e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.69962e-02 2.69962e-02 2.69962e-02 0.00000e+00 3.71107e-01 1.00000e+00 3.45322e-01 3.45322e-01 1.58996e+00
3.98552e+14 2.68680e-01 2.70901e-01 1.34743e+01 0.00000e+00 3.81660e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.07840e-02 3.07840e-02 3.07840e-02 0.00000e+00 3.56279e-01 1.00000e+00 3.81660e-01 3.81660e-01 1.64075e+00
4.17874e+14 2.93896e-01 2.96952e-01 1.30540e+01 0.00000e+00 4.18602e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.49681e-02 3.49681e-02 3.49681e-02 0.00000e+00 3.43791e-01 1.00000e+00 4.18602e-01 4.18602e-01 1.69969e+00
4.38133e+14 3.21388e-01 3.25459e-01 1.27160e+01 0.00000e+00 4.55314e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.95129e-02 3.95129e-02 3.95129e-02 0.00000e+00 3.33451e-01 1.00000e+00 4.55314e-01 4.55314e-01 1.76627e+00
4.59374e+14 3.51494e-01 3.56822e-01 1.24366e+01 0.00000e+00 4.92296e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.45012e-02 4.45012e-02 4.45012e-02 0.00000e+00 3.24600e-01 1.00000e+00 4.92296e-01 4.92296e-01 1.84050e+00
4.81645e+14 3.85261e-01 3.92210e-01 1.21981e+01 0.00000e+00 5.30592e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 5.01294e-02 5.01294e-02 5.01294e-02 0.00000e+00 3.16707e-01 1.00000e+00 5.30592e-01 5.30592e-01 1.92456e+00
5.04996e+14 4.22295e-01 4.31205e-01 1.20125e+01 0.00000e+00 5.68400e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 5.62771e-02 5.62771e-02 5.62771e-02 0.00000e+00 3.10122e-01 1.00000e+00 5.68400e-01 5.68400e-01 2.01805e+00
5.29478e+14 4.62935e-01 4.74256e-01 1.18529e+01 0.00000e+00 6.07214e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 6.31347e-02 6.31347e-02 6.31347e-02 0.00000e+00 3.04085e-01 1.00000e+00 6.07214e-01 6.07214e-01 2.12078e+00
5.55148e+14 5.08247e-01 5.22610e-01 1.17260e+01 0.00000e+00 6.46601e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 7.08174e-02 7.08174e-02 7.08174e-02 0.00000e+00 2.98739e-01 1.00000e+00 6.46601e-01 6.46601e-01 2.23602e+00
5.82062e+14 5.58128e-01 5.76262e-01 1.16285e+01 0.00000e+00 6.86083e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 7.93353e-02 7.93353e-02 7.93353e-02 0.00000e+00 2.94002e-01 1.00000e+00 6.86083e-01 6.86083e-01 2.36356e+00
6.10281e+14 6.12242e-01 6.34925e-01 1.15524e+01 0.00000e+00 7.25678e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 8.87276e-02 8.87276e-02 8.87276e-02 0.00000e+00 2.89658e-01 1.00000e+00 7.25678e-01 7.25678e-01 2.50272e+00
6.39868e+14 6.70504e-01 6.98654e-01 1.14914e+01 0.00000e+00 7.65532e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 9.90785e-02 9.90785e-02 9.90785e-02 0.00000e+00 2.85538e-01 1.00000e+00 7.65532e-01 7.65532e-01 2.65384e+00
6.70890e+14 7.33203e-01 7.67822e-01 1.14521e+01 0.00000e+00 8.04648e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.10366e-01 1.10366e-01 1.10366e-01 0.00000e+00 2.81813e-01 1.00000e+00 8.04648e-01 8.04648e-01 2.81853e+00
7.03415e+14 8.01137e-01 8.43753e-01 1.14216e+01 0.00000e+00 8.44471e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.22934e-01 1.22934e-01 1.22934e-01 0.00000e+00 2.78089e-01 1.00000e+00 8.44471e-01 8.44471e-01 2.99954e+00
7.37517e+14 8.72821e-01 9.24740e-01 1.14026e+01 0.00000e+00 8.83649e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.36556e-01 1.36556e-01 1.36556e-01 0.00000e+00 2.74500e-01 1.00000e+00 8.83649e-01 8.83649e-01 3.19461e+00
7.73273e+14 9.48361e-01 1.01128e+00 1.13888e+01 0.00000e+00 9.22784e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.51411e-01 1.51411e-01 1.51411e-01 0.00000e+00 2.70864e-01 1.00000e+00 9.22784e-01 9.22784e-01 3.40556e+00
8.10762e+14 1.02534e+00 1.10031e+00 1.13827e+01 0.00000e+00 9.60261e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.67053e-01 1.67053e-01 1.67053e-01 0.00000e+00 2.67360e-01 1.00000e+00 9.60261e-01 9.60261e-01 3.62770e+00
8.50068e+14 1.10538e+00 1.19438e+00 1.13761e+01 0.00000e+00 9.97908e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.84039e-01 1.84039e-01 1.84039e-01 0.00000e+00 2.63679e-01 1.00000e+00 9.97908e-01 9.97908e-01 3.86782e+00
8.91281e+14 1.18680e+00 1.29153e+00 1.13693e+01 0.00000e+00 1.03494e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.02123e-01 2.02123e-01 2.02123e-01 0.00000e+00 2.59903e-01 1.00000e+00 1.03494e+00 1.03494e+00 4.12381e+00
9.34491e+14 1.26853e+00 1.39052e+00 1.13605e+01 0.00000e+00 1.07122e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.21214e-01 2.21214e-01 2.21214e-01 0.00000e+00 2.56028e-01 1.00000e+00 1.07122e+00 1.07122e+00 4.39540e+00
9.79796e+14 1.35039e+00 1.49154e+00 1.13472e+01 0.00000e+00 1.10722e+00 0.00000e+00 0.00000e+00    ---     -2.45129e+04 -2.45129e+04 2.41447e-01 2.41447e-01 2.41447e-01 0.00000e+00 2.51985e-01 1.00000e+00 2.11232e+00 -1.22431e-02 6.27087e+01
1.02730e+15 1.43311e+00 1.59542e+00 1.13355e+01 0.00000e+00 1.14212e+00 0.00000e+00 0.00000e+00    ---     -2.40833e+04 -2.40833e+04 2.62726e-01 2.62726e-01 2.62726e-01 0.00000e+00 2.47949e-01 1.00000e+00 2.07953e+00 -1.29343e-02 6.40439e+01
1.07710e+15 1.51104e+00 1.69472e+00 1.13125e+01 0.00000e+00 1.17634e+00 0.00000e+00 0.00000e+00    ---     2.06507e+00 2.06507e+00 2.84478e-01 2.84478e-01 2.84478e-01 0.00000e+00 2.43755e-01 1.00000e+00 1.16291e+00 1.12854e+00 5.23226e+00
1.12932e+15 1.58318e+00 1.78796e+00 1.12768e+01 0.00000e+00 1.21012e+00 0.00000e+00 0.00000e+00    ---     2.74518e+00 2.74518e+00 3.06604e-01 3.06604e-01 3.06604e-01 0.00000e+00 2.39403e-01 1.00000e+00 1.18625e+00 1.14908e+00 5.48506e+00
1.18407e+15 1.65452e+00 1.88197e+00 1.12410e+01 0.00000e+00 1.24300e+00 0.00000e+00 0.00000e+00    ---     3.41219e+00 3.41219e+00 3.29549e-01 3.29549e-01 3.29549e-01 0.00000e+00 2.35086e-01 1.00000e+00 1.20592e+00 1.17019e+00 5.73216e+00
1.24148e+15 1.72177e+00 1.97210e+00 1.11988e+01 0.00000e+00 1.27519e+00 0.00000e+00 0.00000e+00    ---     4.04933e+00 4.04933e+00 3.52897e-01 3.52897e-01 3.52897e-01 0.00000e+00 2.30746e-01 1.00000e+00 1.22263e+00 1.19222e+00 5.96512e+00
1.30166e+15 1.78430e+00 2.05733e+00 1.11505e+01 0.00000e+00 1.30657e+00 0.00000e+00 0.00000e+00    ---     4.65052e+00 4.65052e+00 3.76409e-01 3.76409e-01 3.76409e-01 0.00000e+00 2.26428e-01 1.00000e+00 1.23668e+00 1.21497e+00 6.18169e+00
1.36477e+15 1.84228e+00 2.13771e+00 1.10961e+01 0.00000e+00 1.33741e+00 0.00000e+00 0.00000e+00    ---     5.21790e+00 5.21790e+00 4.00127e-01 4.00127e-01 4.00127e-01 0.00000e+00 2.22124e-01 1.00000e+00 1.24857e+00 1.23852e+00 6.38250e+00
1.43094e+15 1.89525e+00 2.21242e+00 1.10362e+01 0.00000e+00 1.36755e+00 0.00000e+00 0.00000e+00    ---     5.74695e+00 5.74695e+00 4.23793e-01 4.23793e-01 4.23793e-01 0.00000e+00 2.17877e-01 1.00000e+00 1.25858e+00 1.26264e+00 6.56591e+00
1.50031e+15 1.94308e+00 2.28089e+00 1.09716e+01 0.00000e+00 1.39693e+00 0.00000e+00 0.00000e+00    ---     6.23424e+00 6.23424e+00 4.47220e-01 4.47220e-01 4.47220e-01 0.00000e+00 2.13720e-01 1.00000e+00 1.26706e+00 1.28722e+00 6.73156e+00
1.57305e+15 1.98567e+00 2.34251e+00 1.09025e+01 0.00000e+00 1.42554e+00 0.00000e+00 0.00000e+00    ---     6.67926e+00 6.67926e+00 4.70224e-01 4.70224e-01 4.70224e-01 0.00000e+00 2.09674e-01 1.00000e+00 1.27433e+00 1.31208e+00 6.87901e+00
1.64931e+15 2.02372e+00 2.39862e+00 1.08295e+01 0.00000e+00 1.45368e+00 0.00000e+00 0.00000e+00    ---     7.08898e+00 7.08898e+00 4.92951e-01 4.92951e-01 4.92951e-01 0.00000e+00 2.05715e-01 1.00000e+00 1.28068e+00 1.33732e+00 7.01069e+00
1.72927e+15 2.05703e+00 2.44843e+00 1.07536e+01 0.00000e+00 1.48112e+00 0.00000e+00 0.00000e+00    ---     7.45881e+00 7.45881e+00 5.15102e-01 5.15102e-01 5.15102e-01 0.00000e+00 2.01886e-01 1.00000e+00 1.28632e+00 1.36271e+00 7.12601e+00
1.81311e+15 2.08584e+00 2.49210e+00 1.06751e+01 0.00000e+00 1.50789e+00 0.00000e+00 0.00000e+00    ---     7.79216e+00 7.79216e+00 5.36590e-01 5.36590e-01 5.36590e-01 0.00000e+00 1.98193e-01 1.00000e+00 1.29144e+00 1.38809e+00 7.22565e+00
1.90101e+15 2.11046e+00 2.52992e+00 1.05943e+01 0.00000e+00 1.53411e+00 0.00000e+00 0.00000e+00    ---     8.09025e+00 8.09025e+00 5.57395e-01 5.57395e-01 5.57395e-01 0.00000e+00 1.94631e-01 1.00000e+00 1.29626e+00 1.41350e+00 7.31087e+00
1.99317e+15 2.13131e+00 2.56234e+00 1.05126e+01 0.00000e+00 1.55963e+00 0.00000e+00 0.00000e+00    ---     8.35532e+00 8.35532e+00 5.77393e-01 5.77393e-01 5.77393e-01 0.00000e+00 1.91221e-01 1.00000e+00 1.30083e+00 1.43873e+00 7.38274e+00
2.08980e+15 2.14800e+00 2.58865e+00 1.04288e+01 0.00000e+00 1.58466e+00 0.00000e+00 0.00000e+00    ---     8.58873e+00 8.58873e+00 5.96509e-01 5.96509e-01 5.96509e-01 0.00000e+00 1.87942e-01 1.00000e+00 1.30545e+00 1.46380e+00 7.44102e+00
2.19112e+15 2.16170e+00 2.61047e+00 1.03449e+01 0.00000e+00 1.60905e+00 0.00000e+00 0.00000e+00    ---     8.79311e+00 8.79311e+00 6.14775e-01 6.14775e-01 6.14775e-01 0.00000e+00 1.84811e-01 1.00000e+00 1.31002e+00 1.48862e+00 7.48848e+00
2.29734e+15 2.17230e+00 2.62755e+00 1.02611e+01 0.00000e+00 1.63277e+00 0.00000e+00 0.00000e+00    ---     8.97051e+00 8.97051e+00 6.32054e-01 6.32054e-01 6.32054e-01 0.00000e+00 1.81834e-01 1.00000e+00 1.31466e+00 1.51301e+00 7.52521e+00
2.40872e+15 2.18017e+00 2.64036e+00 1.01773e+01 0.00000e+00 1.65597e+00 0.00000e+00 0.00000e+00    ---     9.12426e+00 9.12426e+00 6.48424e-01 6.48424e-01 6.48424e-01 0.00000e+00 1.78991e-01 1.00000e+00 1.31943e+00 1.53702e+00 7.55237e+00
2.52550e+15 2.18552e+00 2.64915e+00 1.00940e+01 0.00000e+00 1.67854e+00 0.00000e+00 0.00000e+00    ---     9.25504e+00 9.25504e+00 6.63801e-01 6.63801e-01 6.63801e-01 0.00000e+00 1.76290e-01 1.00000e+00 1.32439e+00 1.56055e+00 7.57082e+00
2.64794e+15 2.18868e+00 2.65439e+00 1.00111e+01 0.00000e+00 1.70064e+00 0.00000e+00 0.00000e+00    ---     9.36505e+00 9.36505e+00 6.78278e-01 6.78278e-01 6.78278e-01 0.00000e+00 1.73713e-01 1.00000e+00 1.32957e+00 1.58373e+00 7.58168e+00
2.77631e+15 2.18985e+00 2.65634e+00 9.93026e+00 0.00000e+00 1.72190e+00 0.00000e+00 0.00000e+00    ---     9.45563e+00 9.45563e+00 6.91626e-01 6.91626e-01 6.91626e-01 0.00000e+00 1.71295e-01 1.00000e+00 1.33491e+00 1.60609e+00 7.58555e+00
2.91091e+15 2.18924e+00 2.65532e+00 9.85001e+00 0.00000e+00 1.74273e+00 0.00000e+00 0.00000e+00    ---     9.53003e+00 9.53003e+00 7.04101e-01 7.04101e-01 7.04101e-01 0.00000e+00 1.68987e-01 1.00000e+00 1.34051e+00 1.62802e+00 7.58319e+00
