
-------------------------------------------------------------------------------
./eos/eosAPRfit,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
-------------------------------------------------------------------------------
3.00000e+14 1.58096e-01 1.58004e-01 1.85049e+01 0.00000e+00 1.81908e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.28482e-02 1.28482e-02 1.28482e-02 0.00000e+00 4.97863e-01 1.00000e+00 1.81908e-01 1.81908e-01 1.43575e+00
3.14544e+14 1.71313e-01 1.71405e-01 1.71006e+01 0.00000e+00 2.13157e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.51160e-02 1.51160e-02 1.51160e-02 0.00000e+00 4.59060e-01 1.00000e+00 2.13157e-01 2.13157e-01 1.44163e+00
3.29794e+14 1.86341e-01 1.86679e-01 1.59694e+01 0.00000e+00 2.46343e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.76731e-02 1.76731e-02 1.76731e-02 0.00000e+00 4.27626e-01 1.00000e+00 2.46343e-01 2.46343e-01 1.45854e+00
3.45782e+14 2.03423e-01 2.04089e-01 1.50509e+01 0.00000e+00 2.81303e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.05573e-02 2.05573e-02 2.05573e-02 0.00000e+00 4.01903e-01 1.00000e+00 2.81303e-01 2.81303e-01 1.48588e+00
3.62546e+14 2.22645e-01 2.23737e-01 1.43068e+01 0.00000e+00 3.17552e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.37821e-02 2.37821e-02 2.37821e-02 0.00000e+00 3.80841e-01 1.00000e+00 3.17552e-01 3.17552e-01 1.52293e+00
3.80123e+14 2.44374e-01 2.46024e-01 1.36981e+01 0.00000e+00 3.55104e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.74072e-02 2.74072e-02 2.74072e-02 0.00000e+00 3.63369e-01 1.00000e+00 3.55104e-01 3.55104e-01 1.56973e+00
3.98552e+14 2.68650e-01 2.71013e-01 1.32042e+01 0.00000e+00 3.93409e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.14401e-02 3.14401e-02 3.14401e-02 0.00000e+00 3.48918e-01 1.00000e+00 3.93409e-01 3.93409e-01 1.62573e+00
4.17874e+14 2.95887e-01 2.99171e-01 1.28023e+01 0.00000e+00 4.32466e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.59479e-02 3.59479e-02 3.59479e-02 0.00000e+00 3.36848e-01 1.00000e+00 4.32466e-01 4.32466e-01 1.69140e+00
4.38133e+14 3.26043e-01 3.30480e-01 1.24788e+01 0.00000e+00 4.71738e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.09303e-02 4.09303e-02 4.09303e-02 0.00000e+00 3.26794e-01 1.00000e+00 4.71738e-01 4.71738e-01 1.76611e+00
