
-------------------------------------------------------------------------------
./eos/eosFPS,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
-------------------------------------------------------------------------------
3.00000e+14 1.46736e-01 1.46524e-01 1.87359e+01 0.00000e+00 1.72018e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.17589e-02 1.17589e-02 1.17589e-02 0.00000e+00 5.04618e-01 1.00000e+00 1.72018e-01 1.72018e-01 1.38954e+00
3.15627e+14 1.63827e-01 1.63840e-01 1.68186e+01 0.00000e+00 2.13712e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.46886e-02 1.46886e-02 1.46886e-02 0.00000e+00 4.51678e-01 1.00000e+00 2.13712e-01 2.13712e-01 1.39721e+00
3.32069e+14 1.82809e-01 1.83136e-01 1.54610e+01 0.00000e+00 2.56132e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.79147e-02 1.79147e-02 1.79147e-02 0.00000e+00 4.13913e-01 1.00000e+00 2.56132e-01 2.56132e-01 1.42199e+00
3.49366e+14 2.03469e-01 2.04197e-01 1.44969e+01 0.00000e+00 2.97615e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.13733e-02 2.13733e-02 2.13733e-02 0.00000e+00 3.86803e-01 1.00000e+00 2.97615e-01 2.97615e-01 1.46022e+00
3.67565e+14 2.26093e-01 2.27347e-01 1.37690e+01 0.00000e+00 3.38929e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.51434e-02 2.51434e-02 2.51434e-02 0.00000e+00 3.66046e-01 1.00000e+00 3.38929e-01 3.38929e-01 1.50864e+00
3.86712e+14 2.50632e-01 2.52552e-01 1.32172e+01 0.00000e+00 3.79428e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.92081e-02 2.92081e-02 2.92081e-02 0.00000e+00 3.50006e-01 1.00000e+00 3.79428e-01 3.79428e-01 1.56578e+00
4.06856e+14 2.77232e-01 2.79988e-01 1.27895e+01 0.00000e+00 4.19240e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.36013e-02 3.36013e-02 3.36013e-02 0.00000e+00 3.37263e-01 1.00000e+00 4.19240e-01 4.19240e-01 1.63064e+00
4.28049e+14 3.06034e-01 3.09832e-01 1.24523e+01 0.00000e+00 4.58493e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.83585e-02 3.83585e-02 3.83585e-02 0.00000e+00 3.26892e-01 1.00000e+00 4.58493e-01 4.58493e-01 1.70264e+00
4.50347e+14 3.37036e-01 3.42100e-01 1.21886e+01 0.00000e+00 4.96851e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.34752e-02 4.34752e-02 4.34752e-02 0.00000e+00 3.18434e-01 1.00000e+00 4.96851e-01 4.96851e-01 1.78145e+00
