
-------------------------------------------------------------------------------
./eos/eosFPSfit,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
-------------------------------------------------------------------------------
3.00000e+14 1.42094e-01 1.41840e-01 1.94339e+01 0.00000e+00 1.60239e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.09651e-02 1.09651e-02 1.09651e-02 0.00000e+00 5.23826e-01 1.00000e+00 1.60239e-01 1.60239e-01 1.39097e+00
3.15627e+14 1.56650e-01 1.56575e-01 1.74727e+01 0.00000e+00 1.97354e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.34956e-02 1.34956e-02 1.34956e-02 0.00000e+00 4.69793e-01 1.00000e+00 1.97354e-01 1.97354e-01 1.39009e+00
3.32069e+14 1.73069e-01 1.73237e-01 1.60296e+01 0.00000e+00 2.36073e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.63202e-02 1.63202e-02 1.63202e-02 0.00000e+00 4.29803e-01 1.00000e+00 2.36073e-01 2.36073e-01 1.40543e+00
3.49366e+14 1.91603e-01 1.92104e-01 1.49332e+01 0.00000e+00 2.76242e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.94848e-02 1.94848e-02 1.94848e-02 0.00000e+00 3.99175e-01 1.00000e+00 2.76242e-01 2.76242e-01 1.43410e+00
3.67565e+14 2.12343e-01 2.13285e-01 1.40931e+01 0.00000e+00 3.17197e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.29992e-02 2.29992e-02 2.29992e-02 0.00000e+00 3.75437e-01 1.00000e+00 3.17197e-01 3.17197e-01 1.47440e+00
3.86712e+14 2.35446e-01 2.36965e-01 1.34409e+01 0.00000e+00 3.58609e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.68910e-02 2.68910e-02 2.68910e-02 0.00000e+00 3.56724e-01 1.00000e+00 3.58609e-01 3.58609e-01 1.52508e+00
4.06856e+14 2.61048e-01 2.63312e-01 1.29305e+01 0.00000e+00 4.00180e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.11856e-02 3.11856e-02 3.11856e-02 0.00000e+00 3.41769e-01 1.00000e+00 4.00180e-01 4.00180e-01 1.58526e+00
4.28049e+14 2.89170e-01 2.92377e-01 1.25310e+01 0.00000e+00 4.41486e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.58894e-02 3.58894e-02 3.58894e-02 0.00000e+00 3.29730e-01 1.00000e+00 4.41486e-01 4.41486e-01 1.65414e+00
4.50347e+14 3.19915e-01 3.24299e-01 1.22184e+01 0.00000e+00 4.82299e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.10222e-02 4.10222e-02 4.10222e-02 0.00000e+00 3.19948e-01 1.00000e+00 4.82299e-01 4.82299e-01 1.73133e+00
4.73806e+14 3.53416e-01 3.59266e-01 1.19703e+01 0.00000e+00 5.22768e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.66289e-02 4.66289e-02 4.66289e-02 0.00000e+00 3.11807e-01 1.00000e+00 5.22768e-01 5.22768e-01 1.81641e+00
4.98487e+14 3.89927e-01 3.97608e-01 1.17729e+01 0.00000e+00 5.62970e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 5.27652e-02 5.27652e-02 5.27652e-02 0.00000e+00 3.04923e-01 1.00000e+00 5.62970e-01 5.62970e-01 1.90970e+00
5.24453e+14 4.28688e-01 4.38516e-01 1.16229e+01 0.00000e+00 6.01755e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 5.93023e-02 5.93023e-02 5.93023e-02 0.00000e+00 2.99230e-01 1.00000e+00 6.01755e-01 6.01755e-01 2.00927e+00
5.51773e+14 4.70735e-01 4.83231e-01 1.15010e+01 0.00000e+00 6.40626e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 6.64712e-02 6.64712e-02 6.64712e-02 0.00000e+00 2.94163e-01 1.00000e+00 6.40626e-01 6.40626e-01 2.11723e+00
5.80515e+14 5.15046e-01 5.30642e-01 1.14080e+01 0.00000e+00 6.78317e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 7.41008e-02 7.41008e-02 7.41008e-02 0.00000e+00 2.89780e-01 1.00000e+00 6.78317e-01 6.78317e-01 2.23124e+00
6.10755e+14 5.61747e-01 5.80954e-01 1.13370e+01 0.00000e+00 7.15061e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 8.22397e-02 8.22397e-02 8.22397e-02 0.00000e+00 2.85894e-01 1.00000e+00 7.15061e-01 7.15061e-01 2.35176e+00
