
-------------------------------------------------------------------------------
./eos/eosSly,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
-------------------------------------------------------------------------------
3.00000e+14 1.97300e-01 1.97718e-01 1.63280e+01 0.00000e+00 2.45179e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.83189e-02 1.83189e-02 1.83189e-02 0.00000e+00 4.36954e-01 1.00000e+00 2.45179e-01 2.45179e-01 1.51905e+00
3.15627e+14 2.17914e-01 2.18741e-01 1.53589e+01 0.00000e+00 2.82438e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.16137e-02 2.16137e-02 2.16137e-02 0.00000e+00 4.09707e-01 1.00000e+00 2.82438e-01 2.82438e-01 1.55601e+00
3.32069e+14 2.41076e-01 2.42444e-01 1.46003e+01 0.00000e+00 3.20521e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.52887e-02 2.52887e-02 2.52887e-02 0.00000e+00 3.88090e-01 1.00000e+00 3.20521e-01 3.20521e-01 1.60451e+00
3.49366e+14 2.67023e-01 2.69100e-01 1.40017e+01 0.00000e+00 3.59189e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.93823e-02 2.93823e-02 2.93823e-02 0.00000e+00 3.70720e-01 1.00000e+00 3.59189e-01 3.59189e-01 1.66388e+00
3.67565e+14 2.95804e-01 2.98786e-01 1.35299e+01 0.00000e+00 3.97998e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.39055e-02 3.39055e-02 3.39055e-02 0.00000e+00 3.56686e-01 1.00000e+00 3.97998e-01 3.97998e-01 1.73324e+00
3.86712e+14 3.27766e-01 3.31913e-01 1.31558e+01 0.00000e+00 4.36944e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.89166e-02 3.89166e-02 3.89166e-02 0.00000e+00 3.45180e-01 1.00000e+00 4.36944e-01 4.36944e-01 1.81268e+00
4.06856e+14 3.62817e-01 3.68422e-01 1.28614e+01 0.00000e+00 4.75591e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.44123e-02 4.44123e-02 4.44123e-02 0.00000e+00 3.35715e-01 1.00000e+00 4.75591e-01 4.75591e-01 1.90133e+00
4.28049e+14 4.01358e-01 4.08799e-01 1.26283e+01 0.00000e+00 5.14124e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 5.04690e-02 5.04690e-02 5.04690e-02 0.00000e+00 3.27775e-01 1.00000e+00 5.14124e-01 5.14124e-01 1.99971e+00
4.50347e+14 4.42986e-01 4.52651e-01 1.24497e+01 0.00000e+00 5.51794e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 5.70283e-02 5.70283e-02 5.70283e-02 0.00000e+00 3.21187e-01 1.00000e+00 5.51794e-01 5.51794e-01 2.10667e+00
4.73806e+14 4.88255e-01 5.00673e-01 1.23075e+01 0.00000e+00 5.89376e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 6.42267e-02 6.42267e-02 6.42267e-02 0.00000e+00 3.15431e-01 1.00000e+00 5.89376e-01 5.89376e-01 2.22303e+00
4.98487e+14 5.36800e-01 5.52517e-01 1.22004e+01 0.00000e+00 6.26133e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 7.20057e-02 7.20057e-02 7.20057e-02 0.00000e+00 3.10493e-01 1.00000e+00 6.26133e-01 6.26133e-01 2.34821e+00
5.24453e+14 5.88921e-01 6.08632e-01 1.21163e+01 0.00000e+00 6.62669e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 8.04788e-02 8.04788e-02 8.04788e-02 0.00000e+00 3.06023e-01 1.00000e+00 6.62669e-01 6.62669e-01 2.48272e+00
5.51773e+14 6.43932e-01 6.68297e-01 1.20550e+01 0.00000e+00 6.98219e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 8.95437e-02 8.95437e-02 8.95437e-02 0.00000e+00 3.02045e-01 1.00000e+00 6.98219e-01 6.98219e-01 2.62537e+00
5.80515e+14 7.02164e-01 7.32029e-01 1.20074e+01 0.00000e+00 7.33446e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 9.93321e-02 9.93321e-02 9.93321e-02 0.00000e+00 2.98294e-01 1.00000e+00 7.33446e-01 7.33446e-01 2.77714e+00
6.10755e+14 7.63334e-01 7.99620e-01 1.19701e+01 0.00000e+00 7.68302e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.09855e-01 1.09855e-01 1.09855e-01 0.00000e+00 2.94688e-01 1.00000e+00 7.68302e-01 7.68302e-01 2.93790e+00
6.42569e+14 8.26413e-01 8.69898e-01 1.19439e+01 0.00000e+00 8.02052e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.20953e-01 1.20953e-01 1.20953e-01 0.00000e+00 2.91289e-01 1.00000e+00 8.02052e-01 8.02052e-01 3.10587e+00
6.76041e+14 8.92440e-01 9.44370e-01 1.19197e+01 0.00000e+00 8.36018e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.32946e-01 1.32946e-01 1.32946e-01 0.00000e+00 2.87804e-01 1.00000e+00 8.36018e-01 8.36018e-01 3.28438e+00
7.11257e+14 9.59895e-01 1.02123e+00 1.18992e+01 0.00000e+00 8.69289e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.45594e-01 1.45594e-01 1.45594e-01 0.00000e+00 2.84341e-01 1.00000e+00 8.69289e-01 8.69289e-01 3.47058e+00
7.48307e+14 1.02898e+00 1.10095e+00 1.18780e+01 0.00000e+00 9.02439e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.59048e-01 1.59048e-01 1.59048e-01 0.00000e+00 2.80772e-01 1.00000e+00 9.02439e-01 9.02439e-01 3.66616e+00
7.87287e+14 1.09774e+00 1.18097e+00 1.18584e+01 0.00000e+00 9.34408e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.72941e-01 1.72941e-01 1.72941e-01 0.00000e+00 2.77243e-01 1.00000e+00 9.34408e-01 9.34408e-01 3.86688e+00
8.28297e+14 1.16703e+00 1.26264e+00 1.18356e+01 0.00000e+00 9.66237e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.87574e-01 1.87574e-01 1.87574e-01 0.00000e+00 2.73581e-01 1.00000e+00 9.66237e-01 9.66237e-01 4.07648e+00
8.71444e+14 1.23652e+00 1.34572e+00 1.18085e+01 0.00000e+00 9.98010e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.02967e-01 2.02967e-01 2.02967e-01 0.00000e+00 2.69772e-01 1.00000e+00 9.98010e-01 9.98010e-01 4.29566e+00
9.16838e+14 1.30511e+00 1.42878e+00 1.17771e+01 0.00000e+00 1.02942e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.18952e-01 2.18952e-01 2.18952e-01 0.00000e+00 2.65861e-01 1.00000e+00 1.02942e+00 1.02942e+00 4.52265e+00
9.64597e+14 1.37243e+00 1.51146e+00 1.17406e+01 0.00000e+00 1.06057e+00 0.00000e+00 0.00000e+00    ---     -2.54827e+04 -2.54827e+04 2.35528e-01 2.35528e-01 2.35528e-01 0.00000e+00 2.61841e-01 1.00000e+00 2.05110e+00 -1.16482e-02 6.44478e+01
1.01484e+15 1.43824e+00 1.59352e+00 1.16983e+01 0.00000e+00 1.09162e+00 0.00000e+00 0.00000e+00    ---     -2.50485e+04 -2.50485e+04 2.52712e-01 2.52712e-01 2.52712e-01 0.00000e+00 2.57701e-01 1.00000e+00 2.03086e+00 -1.22253e-02 6.54363e+01
