
-------------------------------------------------------------------------------
./eos/eosSlyfit,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
-------------------------------------------------------------------------------
3.00000e+14 2.02492e-01 2.03025e-01 1.62270e+01 0.00000e+00 2.50707e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.89351e-02 1.89351e-02 1.89351e-02 0.00000e+00 4.33991e-01 1.00000e+00 2.50707e-01 2.50707e-01 1.53556e+00
3.15627e+14 2.21754e-01 2.22682e-01 1.53603e+01 0.00000e+00 2.84877e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.20051e-02 2.20051e-02 2.20051e-02 0.00000e+00 4.09588e-01 1.00000e+00 2.84877e-01 2.84877e-01 1.57065e+00
3.32069e+14 2.43183e-01 2.44615e-01 1.46637e+01 0.00000e+00 3.19831e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.54035e-02 2.54035e-02 2.54035e-02 0.00000e+00 3.89733e-01 1.00000e+00 3.19831e-01 3.19831e-01 1.61528e+00
3.49366e+14 2.67180e-01 2.69268e-01 1.40967e+01 0.00000e+00 3.55670e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.91934e-02 2.91934e-02 2.91934e-02 0.00000e+00 3.73301e-01 1.00000e+00 3.55670e-01 3.55670e-01 1.66953e+00
3.67565e+14 2.93670e-01 2.96580e-01 1.36382e+01 0.00000e+00 3.91846e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.33675e-02 3.33675e-02 3.33675e-02 0.00000e+00 3.59723e-01 1.00000e+00 3.91846e-01 3.91846e-01 1.73246e+00
3.86712e+14 3.23288e-01 3.27265e-01 1.32606e+01 0.00000e+00 4.28814e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.80332e-02 3.80332e-02 3.80332e-02 0.00000e+00 3.48221e-01 1.00000e+00 4.28814e-01 4.28814e-01 1.80501e+00
4.06856e+14 3.55441e-01 3.60707e-01 1.29612e+01 0.00000e+00 4.65304e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.30929e-02 4.30929e-02 4.30929e-02 0.00000e+00 3.38739e-01 1.00000e+00 4.65304e-01 4.65304e-01 1.88544e+00
4.28049e+14 3.91287e-01 3.98223e-01 1.27119e+01 0.00000e+00 5.02634e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.87609e-02 4.87609e-02 4.87609e-02 0.00000e+00 3.30469e-01 1.00000e+00 5.02634e-01 5.02634e-01 1.97590e+00
4.50347e+14 4.29676e-01 4.38576e-01 1.25179e+01 0.00000e+00 5.39008e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 5.48446e-02 5.48446e-02 5.48446e-02 0.00000e+00 3.23595e-01 1.00000e+00 5.39008e-01 5.39008e-01 2.07361e+00
4.73806e+14 4.71927e-01 4.83306e-01 1.23576e+01 0.00000e+00 5.75912e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 6.16003e-02 6.16003e-02 6.16003e-02 0.00000e+00 3.17477e-01 1.00000e+00 5.75912e-01 5.75912e-01 2.18134e+00
4.98487e+14 5.17337e-01 5.31681e-01 1.22317e+01 0.00000e+00 6.12320e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 6.89223e-02 6.89223e-02 6.89223e-02 0.00000e+00 3.12157e-01 1.00000e+00 6.12320e-01 6.12320e-01 2.29747e+00
